FREQ,Frequenza,REG_VEHI_AREA,Territorio di immatricolazione automezzo,DATA_TYPE,Indicatore,REG_LOADING,Territorio di carico,REG_UNLOADING,Territorio di scarico,GOODS_TRANSPORT_NST_2007,Tipo di merce (NST 2007),TITLE_OF_TRANSPORT,Titolo di trasporto,DISTANCE_CLASS,Classe di percorrenza,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,IT,Italia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,149319,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,IT,Italia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,9732443,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,IT,Italia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,9881761,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC1,Piemonte,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,25198,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC1,Piemonte,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,1454606,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC1,Piemonte,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,1479804,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,37489,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,37489,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC3,Liguria,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,912,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC3,Liguria,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,438381,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC3,Liguria,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,439293,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC4,Lombardia,ALL,Tutte le voci,P,Conto proprio,TOTAL,Totale,2023,19971,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC4,Lombardia,ALL,Tutte le voci,T,Conto terzi,TOTAL,Totale,2023,2283407,,
A,Annuale,IT,Italia,GC_TON,Merce trasportata - tonnellate,WRL_X_ITA,Paesi esteri,ITC4,Lombardia,ALL,Tutte le voci,ALL,Tutte le voci,TOTAL,Totale,2023,2303379,,
